time,RegionID,Zipcode,City,State,Metro,CountyName,SizeRank,AveragePrice,ROI,value
1997-01-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,146600.0
1997-01-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,562000.0
1997-01-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,105100.0
1997-01-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,196200.0
1997-01-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,297200.0
1997-02-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,316400.0
1997-02-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,133600.0
1997-02-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,144600.0
1997-02-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,155200.0
1997-02-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,146900.0
1997-02-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,564100.0
1997-02-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,106100.0
1997-02-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,197200.0
1997-02-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,298500.0
1997-03-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,318400.0
1997-03-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,134100.0
1997-03-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,145500.0
1997-03-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,156200.0
